Transaction Number;Ethereum (PoW);Hyperledger Besu (IBFT2);CosmWasm (Tendermint)
723;22.18;5.68;5.34
724;47.35;3.92;5.43
725;22.74;5.7;5.36
726;27.12;4.84;5.38
727;72.7;4.51;5.45
728;12.82;5.59;5.46
729;18.48;4.7;5.38
730;23.19;5.54;5.35
731;27.55;4.97;5.43
732;31.59;4.89;5.4
733;17.61;4.57;5.3
734;7.79;5.71;5.53
735;6.13;4.64;5.43
736;14.8;4.73;5.34
737;14.26;4.93;5.37
738;12.46;4.7;5.43
739;9.34;5.8;5.33
740;13.27;4.76;5.45
741;34.45;4.59;5.33
742;13.34;5.75;5.38
743;7.53;4.7;5.31
744;25.49;4.66;5.44
745;27.16;4.76;5.33
746;26.6;5.82;5.46
747;14.29;4.97;5.32
748;25.8;4.85;5.33
749;54.33;4.97;5.38
750;11.35;4.56;5.43
751;41.3;5.67;5.34
752;6.76;4.8;5.44
753;13.28;4.56;5.35
754;43.72;5.68;5.35
755;70.13;5.01;5.35
756;67.39;4.77;5.35
757;29.16;4.6;5.33
758;88.54;4.78;5.36
759;8.44;5.72;5.34
760;35.77;4.8;5.43
761;13.35;5.1;5.37
762;18.9;5;5.31
763;31.62;5.05;5.35
764;21.17;4.71;5.36
765;21.77;4.56;5.43
766;29.39;5.77;5.37
767;11.51;4.83;5.35
768;9.31;4.72;5.33
769;35.8;5.68;5.36
770;24.68;5.03;5.35
771;9.49;5.06;5.57
772;34.88;4.98;5.37
773;23.86;4.04;5.41
774;26.47;5.71;5.38
775;28.06;4.78;5.43
776;17.3;4.85;5.35
777;17.76;5.63;5.46
778;13.67;4.54;5.45
779;10.67;4.83;5.44
780;40.31;4.66;5.46
781;28.15;5.98;5.56
782;47.81;4.01;5.34
783;20.83;5.71;5.44
784;45.26;4.85;5.34
785;15.96;4.9;5.38
786;12.06;4.58;5.3
787;11.83;5.67;5.56
788;52.25;4.62;5.35
789;22.72;4.55;5.35
790;14.56;5.79;5.46
791;20.16;5.04;5.47
792;24.99;4.85;5.33
793;36.87;4.52;5.35
794;18.11;5.69;5.35
795;77.49;4.88;5.44
796;10.85;4.92;5.35
797;27.2;4.71;5.49
798;35.03;5.65;5.45
799;15.75;4.84;5.35
800;15.5;4.86;5.34
801;18.29;4.84;5.35
802;42.37;4.54;5.36
803;64.44;5.85;5.46
804;67.36;4.84;5.45
805;37.83;4.84;5.32
806;14.12;4.85;5.45
807;37.54;5.62;5.48
808;10.26;3.92;5.35
809;9.17;5.83;5.38
810;17.55;4.58;5.41
811;54.48;5.64;5.47
812;14.49;4.64;5.42
813;13.22;4.68;5.45
814;8.13;5.62;5.43
815;11.98;4.47;5.44
816;10.21;4.55;5.37
817;14.33;5.67;5.44
818;19.7;4.55;5.33
819;7.16;5.85;5.47
820;35.37;4.68;5.36
821;82.66;4.99;5.39
822;39.33;4.63;5.45
823;31.4;5.73;5.33
824;19.68;4.12;5.44
825;11.14;5.7;5.39
826;15.94;4.72;5.44
827;24.19;4.77;5.43
828;17.71;4.75;5.43
829;35.63;5.74;5.45
830;31.46;5.08;5.33
831;9.87;4.63;5.37
832;6.54;4.58;5.35
833;50.75;5.74;5.34
834;46.79;4.92;5.36
835;37.5;4.96;5.34
836;31.86;4.94;5.34
837;17.29;4.99;5.44
838;71.26;4.67;5.34
839;35.26;4.67;5.35
840;26;5.77;5.42
841;10.82;4.65;5.36
842;17.07;4.62;5.35
843;27.85;5.75;5.43
844;6.83;4.76;5.36
845;13.13;4.84;5.42
846;22.89;4.61;5.37
847;18.22;5.9;5.4
848;12.58;4.12;5.44
849;22.03;5.72;5.35
850;14.17;4.79;5.37
851;8.06;4.87;5.33
852;9.47;5.64;5.44
853;10.64;3.91;5.35
854;16.75;5.89;5.35
855;26.79;4.8;5.35
856;17.18;4.65;5.47
857;38.23;5.73;5.34
858;77.01;5.08;5.36
859;12.16;4.05;5.46
860;6.54;5.67;5.34
861;11.24;4.73;5.34
862;38.71;4.79;5.34
863;12.79;5.63;5.46
864;20.14;4.68;5.36
865;7.19;4.69;5.34
866;75.34;4.68;5.4
867;13.2;5.73;5.44
868;106.59;4.71;5.4
869;57.69;4.62;5.43
870;8.92;5.67;5.33
871;28.2;4.67;5.36
872;7.2;5.73;5.37
873;26.54;4.59;5.42
874;20.63;4.96;5.42
875;9.25;5.12;5.34
876;73.69;4.77;5.36
877;24.12;4.55;5.45
878;19.43;5.76;5.37
879;34.38;4.95;5.43
880;9.52;4.91;5.37
881;10.97;5.06;5.42
882;16.49;4.88;5.34
883;9.24;4.67;5.47
884;21.63;4.56;5.52
885;75.78;5.82;5.34
886;8.98;4.68;5.34
887;43.73;5.68;5.36
888;37.18;3.91;5.36
889;9.79;5.74;5.38
890;85.28;4.93;5.43
891;63.03;4.92;5.37
892;16.22;4.9;5.45
893;8.21;4.68;5.34
894;17.14;5.67;5.34
895;14.13;4.81;5.35
896;16.14;4.61;5.49
897;19.15;4.68;5.57
898;21.19;5.79;5.36
899;16.52;4.88;5.37
900;36.23;4.59;5.31
901;15.4;5.68;5.54
902;18.61;5.03;5.34
903;16.45;5.18;5.36
904;19.86;4.05;5.45
905;86.24;5.74;5.45
906;9.23;4.58;5.46
907;23.13;4.6;5.53
908;8.18;5.73;5.34
909;24.02;4.66;5.39
910;21.47;4.64;5.43
911;26.16;5.83;5.38
912;7.16;4.97;5.6
913;11.17;4.87;5.33
914;16.37;4.97;5.37
915;73.32;4.52;5.53
916;11.29;4.67;5.46
