Time (seconds),Validator 1,Validator 2,Validator 3,Validator 4
1021,5,1,0,0
1022,0,1,1,5
1023,4,1,0,1
1024,2,2,3,1
1025,0,1,2,4
1026,4,4,1,4
1027,1,2,1,1
1028,5,6,1,4
1029,3,2,1,7
1030,4,4,4,2
1031,3,6,1,2
1032,3,0,4,1
1033,1,1,1,3
1034,2,2,1,1
1035,7,5,2,4
1036,1,1,1,4
1037,1,1,5,4
1038,1,4,1,0
1039,4,1,3,3
1040,0,0,0,1
1041,1,2,3,4
1042,4,4,0,4
1043,2,1,1,3
1044,1,1,4,4
1045,5,6,2,2
1046,2,1,7,5
1047,3,1,0,1
1048,1,1,1,3
1049,10,5,5,4
1050,1,1,1,0
1051,0,0,1,6
1052,20,2,2,13
1053,1,0,4,0
1054,1,0,1,0
1055,3,7,1,1
1056,5,2,6,5
1057,0,0,1,0
1058,1,1,1,1
1059,2,6,4,4
1060,1,5,7,7
1061,1,4,1,10
1062,0,0,0,1
1063,3,1,8,1
1064,6,4,3,0
1065,4,4,0,0
1066,5,4,5,1
1067,0,1,2,2
1068,0,0,0,2
1069,3,6,0,1
1070,4,0,1,20
1071,1,3,4,4
1072,1,1,0,1
1073,1,5,1,1
1074,1,1,5,11
1075,1,5,4,1
1076,5,4,2,9
1077,6,3,3,5
1078,3,2,3,6
1079,2,4,2,4
1080,11,5,0,0
1081,0,1,3,1
1082,1,1,3,1
1083,1,5,1,1
1084,0,1,4,1
1085,0,2,0,1
1086,2,0,2,1
1087,5,4,0,0
1088,3,1,4,1
1089,1,1,0,1
1090,2,6,2,1
1091,1,0,3,1
1092,0,1,1,1
1093,1,1,15,5
1094,5,2,4,4
1095,1,0,1,3
1096,1,0,1,0
1097,1,6,6,4
1098,5,4,6,4
1099,2,2,0,1
1100,1,1,2,1
1101,7,1,1,3
1102,0,1,6,5
1103,1,2,0,1
1104,3,5,1,3
1105,1,0,10,5
1106,0,1,0,5
1107,2,1,0,1
1108,6,1,2,6
1109,4,4,1,3
1110,1,6,1,1
1111,1,4,1,1
1112,1,1,5,7
1113,19,2,0,5
1114,4,3,1,1
1115,4,1,6,1
1116,0,1,3,3
1117,0,0,1,1
1118,3,5,1,1
1119,2,4,2,2
1120,2,1,1,3
1121,1,3,1,1
1122,0,6,0,5
1123,5,1,4,3
1124,1,3,2,1
1125,4,5,4,5
1126,4,1,4,6
1127,1,0,1,1
1128,3,1,2,1
1129,3,10,5,4
1130,1,1,4,0
1131,0,0,1,1
1132,0,4,3,1
1133,2,7,5,6
1134,1,1,1,1
1135,1,0,3,1
1136,2,6,3,3
1137,0,0,1,0
1138,1,1,0,0
1139,1,1,2,7
1140,7,4,0,10
1141,2,1,1,2
1142,1,4,1,6
1143,5,2,1,6
1144,5,0,7,1
1145,1,1,1,1
1146,1,2,2,0
1147,2,1,4,4
1148,1,0,0,1
1149,2,3,1,1
1150,5,4,1,1
1151,3,2,1,4
1152,1,0,0,5
1153,2,3,0,1
1154,4,1,5,4
1155,3,1,5,3
1156,1,6,1,1
1157,7,7,4,0
1158,1,1,9,4
1159,7,4,4,1
1160,1,5,0,7
1161,1,2,4,1
1162,1,1,3,3
1163,5,4,4,3
1164,6,6,4,5
1165,0,0,4,1
1166,1,1,2,4
1167,1,1,1,1
1168,2,2,5,1
1169,1,1,2,1
1170,3,3,3,3
1171,5,0,0,0
1172,1,1,4,0
1173,1,1,1,6
1174,3,10,1,6
1175,2,5,4,7
1176,0,1,1,0
1177,1,1,1,6
1178,1,3,2,6
1179,1,1,1,1
1180,1,1,3,1
1181,2,4,10,1
1182,1,1,4,0
1183,1,1,0,1
1184,0,6,1,8
1185,5,3,2,0
1186,0,0,4,0
1187,2,1,0,4
1188,5,4,3,3
1189,4,5,6,1
1190,1,1,1,3
1191,4,4,1,1
1192,2,2,6,1
1193,2,3,0,1
1194,1,1,0,5
1195,3,4,1,0
1196,3,1,5,1
1197,0,1,2,0
1198,3,4,1,4
1199,1,1,1,1
1200,2,2,6,3
1201,3,1,1,4
1202,5,6,0,1
1203,1,1,5,2
1204,3,3,0,1
1205,1,4,1,0
1206,3,1,3,1
1207,0,1,10,5
1208,3,3,3,5
1209,5,1,0,3
1210,1,0,1,0
1211,0,1,1,2
1212,3,6,5,1
1213,0,1,0,1
1214,1,0,4,1
1215,0,1,1,8
1216,4,4,0,0
1217,1,1,0,1
1218,2,0,1,1
1219,3,3,4,1
1220,4,1,7,1
1221,1,1,3,0
1222,1,2,2,1
1223,7,7,1,3
1224,1,9,1,1
1225,1,0,1,0
1226,1,2,2,3
1227,19,0,2,2
1228,1,1,4,1
1229,0,0,0,4
1230,4,4,3,1
1231,1,0,1,1
1232,2,1,1,0
1233,1,1,1,1
1234,1,3,3,3
1235,1,0,1,1
1236,1,1,1,4
1237,6,5,1,3
1238,3,0,4,1
1239,5,2,2,4
1240,1,1,0,0
1241,4,3,1,1
1242,4,0,7,4
1243,1,6,1,1
1244,1,5,1,0
1245,1,4,4,4
1246,2,1,2,2
1247,4,1,1,1
1248,5,0,1,1
1249,0,0,4,1
1250,1,1,0,5
1251,1,5,0,0
1252,1,1,1,1
1253,9,0,4,4
1254,0,0,0,5
1255,5,1,1,1
1256,0,1,9,4
1257,2,2,2,6
1258,3,7,0,0
1259,1,1,0,1
1260,1,1,1,7
1261,5,3,4,1
1262,5,1,0,1
1263,1,0,5,1
1264,1,6,1,5
1265,5,4,0,0
1266,2,1,5,1
1267,2,1,3,3
1268,2,2,3,1
1269,3,0,0,1
1270,0,1,1,1
1271,2,7,2,1
1272,1,1,4,2
1273,1,0,4,0
1274,0,1,3,4
1275,8,0,7,1
1276,1,1,4,1
1277,1,1,1,1
1278,1,4,3,5
1279,4,8,5,6
1280,2,1,4,1
1281,0,1,0,1
1282,3,1,1,3
1283,0,0,4,0
1284,0,0,0,0
1285,1,4,1,1
1286,4,4,5,1
1287,1,0,1,3
1288,1,4,2,0
1289,6,5,3,1
1290,1,2,5,2
1291,1,1,1,5
1292,1,4,1,1
1293,1,4,5,1
1294,2,2,6,4
1295,3,1,0,1
1296,5,5,3,0
1297,3,3,2,2
1298,2,0,0,1
1299,3,5,1,0
1300,7,1,4,3
1301,3,2,1,3
1302,0,4,0,5
1303,4,18,1,1
1304,1,1,5,4
1305,5,6,5,4
1306,1,1,0,1
1307,1,1,1,1
1308,1,1,3,0
1309,9,5,3,1
1310,5,4,0,1
1311,0,0,1,1
1312,1,2,1,7
1313,3,7,1,4
1314,2,1,0,0
1315,1,0,4,1
1316,7,0,1,5
1317,2,2,0,0
1318,0,1,4,0
1319,1,0,1,0
1320,5,0,2,3
1321,1,1,1,1
1322,1,1,1,5
1323,1,1,2,5
1324,5,6,3,1
1325,1,0,4,3
1326,2,1,1,0
1327,4,5,1,4
1328,3,3,3,1
1329,2,1,1,4
1330,0,0,1,1
1331,0,2,2,2
1332,1,0,5,7
1333,2,1,1,4
1334,3,1,1,1
1335,2,2,4,1
1336,1,1,0,0
1337,1,1,2,0
1338,1,1,4,1
1339,2,2,1,7
1340,1,1,0,7
1341,6,5,0,1
1342,1,2,6,1
1343,5,1,4,8
1344,2,3,1,1
1345,1,1,1,1
1346,1,1,6,8
1347,1,0,0,1
1348,5,1,1,1
1349,4,1,2,2
1350,1,1,1,1
1351,4,5,0,0
1352,1,1,2,5
