Time (in seconds),Validator,Memory Used (MB)
744,Validator,89.78
745,Validator,89.79
746,Validator,89.79
747,Validator,89.80
748,Validator,89.80
749,Validator,89.81
750,Validator,89.81
751,Validator,89.82
752,Validator,89.82
753,Validator,89.83
754,Validator,89.83
755,Validator,89.85
756,Validator,89.85
757,Validator,89.86
758,Validator,89.98
759,Validator,89.87
760,Validator,89.88
761,Validator,89.88
762,Validator,89.89
763,Validator,89.89
764,Validator,89.90
765,Validator,89.90
766,Validator,89.91
767,Validator,89.91
768,Validator,89.91
769,Validator,89.91
770,Validator,89.93
771,Validator,89.93
772,Validator,89.93
773,Validator,89.93
774,Validator,89.95
775,Validator,89.95
776,Validator,89.96
777,Validator,89.96
778,Validator,89.98
779,Validator,89.98
780,Validator,89.98
781,Validator,89.98
782,Validator,89.99
783,Validator,90.00
784,Validator,90.00
785,Validator,90.02
786,Validator,90.02
787,Validator,90.03
788,Validator,90.03
789,Validator,90.04
790,Validator,90.04
791,Validator,90.05
792,Validator,90.05
793,Validator,90.05
794,Validator,90.05
795,Validator,90.06
796,Validator,90.06
797,Validator,90.08
798,Validator,90.08
799,Validator,90.09
800,Validator,90.09
801,Validator,90.10
802,Validator,90.11
803,Validator,90.11
804,Validator,90.12
805,Validator,90.12
806,Validator,90.13
807,Validator,90.13
808,Validator,90.14
809,Validator,90.14
810,Validator,90.16
811,Validator,90.16
812,Validator,90.16
813,Validator,90.16
814,Validator,90.18
815,Validator,90.18
816,Validator,90.19
817,Validator,90.32
818,Validator,90.20
819,Validator,90.20
820,Validator,90.21
821,Validator,90.21
822,Validator,90.23
823,Validator,90.23
824,Validator,90.27
825,Validator,90.27
826,Validator,90.28
827,Validator,90.28
828,Validator,90.29
829,Validator,90.30
830,Validator,90.30
831,Validator,90.31
832,Validator,90.31
833,Validator,90.32
834,Validator,90.32
835,Validator,90.33
836,Validator,90.33
837,Validator,90.34
838,Validator,90.34
839,Validator,90.34
840,Validator,90.35
841,Validator,90.36
842,Validator,90.37
843,Validator,90.39
844,Validator,90.39
845,Validator,90.40
846,Validator,90.40
847,Validator,90.41
848,Validator,90.41
849,Validator,90.55
850,Validator,90.55
851,Validator,90.56
852,Validator,90.57
853,Validator,90.57
854,Validator,90.59
855,Validator,90.59
856,Validator,90.59
857,Validator,90.59
858,Validator,90.60
859,Validator,90.60
860,Validator,90.62
861,Validator,90.75
862,Validator,90.64
863,Validator,90.64
864,Validator,90.64
865,Validator,90.65
866,Validator,90.66
867,Validator,90.66
868,Validator,91.78
869,Validator,91.78
870,Validator,91.79
871,Validator,91.79
872,Validator,91.80
873,Validator,91.80
874,Validator,91.80
875,Validator,91.82
876,Validator,91.82
877,Validator,91.82
878,Validator,91.82
879,Validator,91.83
880,Validator,91.83
881,Validator,91.84
882,Validator,91.84
883,Validator,91.86
884,Validator,91.85
885,Validator,91.86
886,Validator,91.86
887,Validator,91.87
888,Validator,91.87
889,Validator,91.89
890,Validator,91.89
891,Validator,91.90
892,Validator,91.90
893,Validator,93.41
894,Validator,93.41
895,Validator,93.41
896,Validator,93.42
897,Validator,93.43
898,Validator,93.43
899,Validator,93.43
900,Validator,93.44
901,Validator,93.44
902,Validator,93.45
903,Validator,93.45
904,Validator,93.46
905,Validator,93.46
906,Validator,93.47
907,Validator,93.47
908,Validator,93.48
909,Validator,93.48
910,Validator,93.49
911,Validator,93.49
912,Validator,93.50
913,Validator,93.50
914,Validator,93.52
915,Validator,93.52
916,Validator,93.53
917,Validator,93.53
918,Validator,93.54
919,Validator,93.57
920,Validator,93.57
921,Validator,93.59
922,Validator,93.59
923,Validator,93.59
924,Validator,93.59
925,Validator,93.61
926,Validator,93.61
927,Validator,93.62
928,Validator,93.61
929,Validator,93.62
930,Validator,93.62
931,Validator,93.63
932,Validator,93.63
933,Validator,93.64
934,Validator,93.64
935,Validator,93.65
936,Validator,93.65
937,Validator,93.67
938,Validator,93.67
939,Validator,93.68
940,Validator,93.68
941,Validator,93.68
942,Validator,93.69
943,Validator,93.70
944,Validator,93.71
945,Validator,93.71
946,Validator,93.72
947,Validator,93.72
948,Validator,93.72
949,Validator,93.72
950,Validator,93.73
951,Validator,93.73
952,Validator,93.74
953,Validator,93.74
954,Validator,93.75
955,Validator,93.75
956,Validator,93.77
957,Validator,93.77
958,Validator,93.84
959,Validator,93.84
960,Validator,93.86
961,Validator,93.86
962,Validator,93.86
963,Validator,93.86
964,Validator,93.88
965,Validator,93.88
966,Validator,93.88
967,Validator,93.89
968,Validator,93.89
969,Validator,93.90
970,Validator,93.90
971,Validator,93.91
972,Validator,93.91
973,Validator,93.92
974,Validator,93.92
975,Validator,93.93
976,Validator,93.93
977,Validator,93.95
978,Validator,93.96
979,Validator,93.97
980,Validator,93.97
981,Validator,93.98
982,Validator,93.98
983,Validator,93.99
984,Validator,93.99
985,Validator,94.00
986,Validator,94.00
987,Validator,96.00
988,Validator,96.00
989,Validator,96.01
990,Validator,96.01
991,Validator,96.01
992,Validator,96.01
993,Validator,96.01
994,Validator,96.01
995,Validator,96.01
996,Validator,96.07
997,Validator,96.62
998,Validator,96.73
999,Validator,96.80
1000,Validator,96.82
1001,Validator,97.02
1002,Validator,97.02
1003,Validator,97.06
1004,Validator,97.07
1005,Validator,97.11
1006,Validator,97.13
1007,Validator,97.13
1008,Validator,97.14
1009,Validator,97.14
1010,Validator,97.27
1011,Validator,97.15
1012,Validator,97.15
1013,Validator,97.16
1014,Validator,97.16
1015,Validator,97.21
1016,Validator,97.21
1017,Validator,97.21
1018,Validator,97.21
1019,Validator,97.22
1020,Validator,97.22
1021,Validator,97.22
1022,Validator,97.22
1023,Validator,97.22
1024,Validator,97.22
1025,Validator,97.22
1026,Validator,97.22
1027,Validator,97.23
1028,Validator,97.23
1029,Validator,97.23
1030,Validator,97.23
1031,Validator,97.23
1032,Validator,97.23
1033,Validator,97.23
1034,Validator,97.23
1035,Validator,97.23
1036,Validator,97.24
1037,Validator,97.24
1038,Validator,97.24
1039,Validator,97.25
1040,Validator,97.25
1041,Validator,97.25
1042,Validator,97.25
1043,Validator,97.25
1044,Validator,97.25
1045,Validator,97.26
1046,Validator,97.26
1047,Validator,97.26
1048,Validator,97.26
1049,Validator,97.26
1050,Validator,97.26
1051,Validator,97.26
1052,Validator,97.26
1053,Validator,97.27
1054,Validator,101.10
1055,Validator,101.20
1056,Validator,101.20
1057,Validator,101.30
1058,Validator,101.20
1059,Validator,101.20
1060,Validator,101.20
