Time (in seconds),Validator,CPU Used
1071,Validator,0.62
1072,Validator,0.70
1073,Validator,1.58
1074,Validator,1.01
1075,Validator,0.94
1076,Validator,1.12
1077,Validator,0.40
1078,Validator,1.09
1079,Validator,1.41
1080,Validator,3.91
1081,Validator,2.48
1082,Validator,4.76
1083,Validator,0.22
1084,Validator,4.71
1085,Validator,1.22
1086,Validator,4.33
1087,Validator,0.20
1088,Validator,15.44
1089,Validator,0.11
1090,Validator,0.93
1091,Validator,0.76
1092,Validator,0.27
1093,Validator,0.48
1094,Validator,1.46
1095,Validator,0.25
1096,Validator,1.17
1097,Validator,1.24
1098,Validator,0.08
1099,Validator,0.78
1100,Validator,1.83
1101,Validator,3.58
1102,Validator,0.48
1103,Validator,3.65
1104,Validator,0.29
1105,Validator,4.88
1106,Validator,1.54
1107,Validator,4.46
1108,Validator,0.40
1109,Validator,2.12
1110,Validator,0.83
1111,Validator,0.03
1112,Validator,1.32
1113,Validator,2.50
1114,Validator,0.25
1115,Validator,1.52
1116,Validator,0.68
1117,Validator,0.15
1118,Validator,2.53
1119,Validator,1.36
1120,Validator,0.75
1121,Validator,0.70
1122,Validator,1.41
1123,Validator,0.06
1124,Validator,3.98
1125,Validator,1.80
1126,Validator,4.04
1127,Validator,1.43
1128,Validator,5.18
1129,Validator,0.22
1130,Validator,4.26
1131,Validator,2.40
1132,Validator,1.40
1133,Validator,0.16
1134,Validator,1.48
1135,Validator,0.85
1136,Validator,0.37
1137,Validator,1.09
1138,Validator,0.44
1139,Validator,0.97
1140,Validator,0.61
1141,Validator,1.25
1142,Validator,0.03
1143,Validator,0.91
1144,Validator,1.20
1145,Validator,0.78
1146,Validator,1.79
1147,Validator,6.21
1148,Validator,0.27
1149,Validator,4.76
1150,Validator,1.27
1151,Validator,3.35
1152,Validator,0.95
1153,Validator,4.47
1154,Validator,0.52
1155,Validator,0.93
1156,Validator,0.48
1157,Validator,0.13
1158,Validator,0.27
1159,Validator,1.96
1160,Validator,0.14
1161,Validator,0.32
1162,Validator,1.45
1163,Validator,0.37
1164,Validator,1.10
1165,Validator,1.95
1166,Validator,0.92
1167,Validator,0.03
1168,Validator,3.67
1169,Validator,1.67
