Transaction Number,CosmWasm (Tendermint),Hyperledger Besu (IBFT2),Ethereum (PoW)
508,5.33,5.55,6.24
509,5.35,4.58,11.19
510,5.33,5.59,34.18
511,5.36,4.64,12.19
512,5.43,4.53,8.2
513,5.33,5.61,35.37
514,5.33,4.51,23.18
515,5.37,5.58,8.23
516,5.34,4.59,9.17
517,5.45,5.5,16.13
518,5.42,4.59,31.16
519,5.56,5.47,15.2
520,5.35,4.67,45.2
521,5.33,4.5,43.22
522,5.45,5.63,24.19
523,5.34,4.51,25.26
524,5.34,5.51,25.2
525,5.38,4.51,17.21
526,5.48,5.52,54.36
527,5.53,4.53,20.16
528,5.34,5.57,16.22
529,5.49,4.47,7.12
530,5.43,5.56,11.14
531,5.34,4.59,40.18
532,5.34,5.49,16.23
533,5.37,4.58,14.18
534,5.39,5.53,19.2
535,5.33,4.7,14.26
536,5.44,4.59,7.21
537,5.35,5.5,33.19
538,5.44,4.59,23.23
539,5.4,5.51,43.35
540,5.48,4.58,7.88
541,5.41,5.52,17.95
542,5.35,4.58,13.11
543,5.32,4.54,25.94
544,5.44,5.61,25.91
545,5.43,4.54,38.96
546,5.54,5.56,20.9
547,5.43,4.55,34.99
548,5.33,5.67,6.92
549,5.37,4.7,9.9
550,5.33,4.62,44.96
551,5.37,5.47,11.01
552,5.49,4.56,10.89
553,5.33,5.44,33.9
554,5.4,4.5,11.94
555,5.52,5.49,12.92
556,5.48,4.47,43.92
557,5.47,5.49,14.91
558,5.34,4.54,73.96
559,5.36,5.49,9.96
560,5.52,4.52,5.82
561,5.36,5.48,22.9
562,5.34,4.52,19.9
563,5.33,5.47,24.02
564,5.46,4.5,21.93
565,5.37,5.53,13.92
566,5.35,4.52,15.12
567,5.38,5.48,8.87
568,5.56,4.49,26.87
569,5.35,5.54,22.93
570,5.37,4.54,14.95
571,5.46,5.6,53.95
572,5.33,4.54,30.89
573,5.35,4.74,11.92
574,5.36,5.6,15.91
575,5.33,4.7,20.89
576,5.37,4.52,14.9
577,5.43,5.51,9.95
